7704-perkins-library-0422-c-17,AIR-AP3802I-B-K9,cc:16:7e:83:98:12,Perkins,Library,US,10.140.185.159
7704-perkins-library-0422-c-19,AIR-AP3802I-B-K9,00:42:68:a7:a8:36,Perkins,Library,US,10.140.185.160
7704-perkins-library-0422-c-1,AIR-AP3802I-B-K9,cc:16:7e:83:c1:20,Perkins,Library,US,10.140.185.46
7704-perkins-library-0422-c-20,AIR-AP3802I-B-K9,cc:16:7e:83:9e:42,Perkins,Library,US,10.140.185.54
7704-perkins-library-0422-c-2,AIR-AP3802I-B-K9,00:f6:63:6f:86:c4,Perkins,Library,US,10.140.12.59
7704-perkins-library-0422-c-3,AIR-AP3802I-B-K9,00:f6:63:6f:86:e8,Perkins,Library,US,10.140.185.150
7704-perkins-library-0422-c-4,AIR-AP3802I-B-K9,00:f6:63:6f:86:e2,Perkins,Library,US,10.140.185.153
7704-perkins-library-0422-c-6,AIR-AP3802I-B-K9,00:42:68:a7:a7:e0,Perkins,Library,US,10.140.185.47
7704-perkins-library-0422-c-7,AIR-AP3802I-B-K9,cc:16:7e:83:9e:20,Perkins,Library,US,10.140.185.154
7704-perkins-library-0422-c-9,AIR-AP3802I-B-K9,00:f6:63:6f:5a:4e,Perkins,Library,US,10.140.185.155
7704-perkins-lost-1999,AIR-CAP3702I-A-K9,84:b8:02:55:93:c8,default,location,US,10.140.185.233
7704-perkins-lost-23,AIR-CAP3702I-A-K9,84:b8:02:70:03:b0,perkins,US,10.140.185.123,0
7704-perkins-somewhere-1,AIR-CAP3702I-A-K9,84:b8:02:52:97:e4,default,location,US,10.140.185.81
7704-perkins-somewhere-2,AIR-CAP3702I-A-K9,84:b8:02:64:de:94,default,location,US,10.140.185.232
7704-perkins-whoami-3,AIR-CAP3702I-A-K9,84:b8:02:64:dd:30,perkins,US,10.140.185.130,0
7704-per-rub-080-1-h,AIR-CAP3702I-A-K9,84:b8:02:64:de:60,default,location,US,10.140.185.68
7704-per-rub-080-2-h-c,AIR-CAP3702I-A-K9,84:b8:02:52:97:3c,default,location,US,10.140.12.139
7704-per-rub-080-3-h-c,AIR-CAP3702I-A-K9,84:b8:02:52:98:a0,Perkins,US,10.140.185.179,2
7704-per-rub-093-3-h-c,AIR-CAP3702I-A-K9,84:b8:02:48:ef:f4,Perkins,US,10.140.12.199,0
7704-per-rub-093-4-h-c,AIR-CAP3702I-A-K9,84:b8:02:70:03:88,default,location,US,10.140.185.140
7704-per-rub-093-5-h-c,AIR-CAP3702I-A-K9,84:b8:02:52:99:28,default,location,US,10.140.12.136
7704-per-rub-093d-h-c,AIR-CAP3702I-A-K9,84:b8:02:52:99:68,default,location,US,10.140.12.151
7704-per-rub-094-1-c,AIR-CAP3702I-A-K9,84:b8:02:64:de:58,default,location,US,10.140.12.178
7704-per-rub-094-2-c,AIR-CAP3702I-A-K9,84:b8:02:48:e5:18,default,location,US,10.140.12.189
7704-per-rub-095-c,AIR-CAP3702I-A-K9,84:b8:02:64:dd:48,default,location,US,10.140.185.125
7704-per-rub-099-1-c,AIR-CAP3702I-A-K9,84:b8:02:48:ef:00,default,location,US,10.140.185.108
7704-per-rub-099-2-c,AIR-CAP3702I-A-K9,84:b8:02:38:26:ec,default,location,US,10.140.12.183
7704-per-rub-099-3-c,AIR-CAP3702I-A-K9,84:b8:02:55:97:98,default,location,US,10.140.12.57
7704-per-rub-099-4-c,AIR-CAP3702I-A-K9,84:b8:02:52:97:d4,default,location,US,10.140.12.137
7704-per-rub-099-5-c,AIR-CAP3702I-A-K9,84:b8:02:55:94:c4,default,location,US,10.140.12.245
7704-per-rub-099-6-c,AIR-CAP3702I-A-K9,84:b8:02:70:03:dc,default,location,US,10.140.185.104
7704-per-rub-140a-c,AIR-CAP3702I-A-K9,84:b8:02:55:93:44,default,location,US,10.140.185.105
7704-per-rub-149-1-h,AIR-CAP3702I-A-K9,84:b8:02:38:26:cc,default,location,US,10.140.185.121
7704-per-rub-149-2-h,AIR-CAP3702I-A-K9,84:b8:02:52:98:40,default,location,US,10.140.185.91
7704-per-rub-150-c,AIR-CAP3702I-A-K9,84:b8:02:38:27:a4,default,location,US,10.140.185.141
7704-per-rub-151-c,AIR-CAP3702I-A-K9,84:b8:02:64:d8:74,default,location,US,10.140.185.97
7704-per-rub-153-1-c,AIR-CAP3702I-A-K9,84:b8:02:52:97:60,default,location,US,10.140.185.136
7704-per-rub-153-2-c,AIR-CAP3702I-A-K9,84:b8:02:48:e4:a8,default,location,US,10.140.185.120
7704-per-rub-170-1-c-w,AIR-CAP3602E-A-K9,7c:ad:74:28:50:e8,default,location,US,10.140.12.185
7704-per-rub-170-2-c-w,AIR-CAP3602E-A-K9,7c:ad:74:28:50:12,default,location,US,10.140.12.155
7704-per-rub-171-1-c,AIR-CAP3702I-A-K9,84:b8:02:70:04:10,default,location,US,10.140.185.103
7704-per-rub-171-2-c,AIR-CAP3702I-A-K9,84:b8:02:64:de:f4,default,location,US,10.140.185.61
7704-per-rub-171-3-c,AIR-CAP3702I-A-K9,84:b8:02:38:27:14,default,location,US,10.140.185.110
7704-per-rub-175-1-c,AIR-CAP3702I-A-K9,84:b8:02:38:25:50,default,location,US,10.140.185.119
7704-per-rub-175-2-c,AIR-CAP3702I-A-K9,84:b8:02:48:ef:1c,default,location,US,10.140.185.118
7704-per-rub-175-3-c,AIR-CAP3702I-A-K9,84:b8:02:0b:98:ec,default,location,US,10.140.185.138
7704-per-rub-175-4-c,AIR-CAP3702I-A-K9,84:b8:02:52:96:e0,default,location,US,10.140.185.135
7704-per-rub-175-5-c,AIR-CAP3702I-A-K9,84:b8:02:70:04:18,default,location,US,10.140.12.238
7704-per-rub-180a-h,AIR-CAP3702I-A-K9,84:b8:02:38:23:84,default,location,US,10.140.185.116
7704-per-rub-181-c,AIR-CAP3702I-A-K9,84:b8:02:64:de:e0,default,location,US,10.140.185.188
7704-per-rub-191-1-c,AIR-CAP3702I-A-K9,84:b8:02:64:de:f8,default,location,US,10.140.185.94
7704-per-rub-191-2-c,AIR-CAP3702I-A-K9,84:b8:02:48:ea:00,default,location,US,10.140.185.112
7704-per-rub-191b-h,AIR-CAP3702I-A-K9,84:b8:02:70:04:04,default,location,US,10.140.185.111
7704-per-rub-192-h,AIR-CAP3702I-A-K9,84:b8:02:64:dd:90,default,location,US,10.140.185.59
7704-per-rub-249-1-c,AIR-CAP3702I-A-K9,84:b8:02:3f:f8:98,Perkins,US,10.140.12.107,2
7704-per-rub-249-c,AIR-CAP3702I-A-K9,84:b8:02:3a:b8:54,Perkins,US,10.140.185.114,0
7704-per-rub-250-2-c,AIR-CAP3602E-A-K9,7c:ad:74:28:50:8c,default,location,US,10.140.185.106
7704-per-rub-251-1-h-c,AIR-CAP3702I-A-K9,84:b8:02:64:d8:cc,Perkins,US,10.140.12.145,3
7704-per-rub-251-2-h-c,AIR-CAP3702I-A-K9,84:b8:02:52:98:8c,perkins,US,10.140.185.226,0
7704-per-rub-253-h,AIR-CAP3702I-A-K9,84:b8:02:48:eb:28,Perkins,US,10.140.185.139,2
7704-per-rub-254-h-c,AIR-CAP3702I-A-K9,84:b8:02:52:97:08,Perkins,US,10.140.185.107,2
7704-per-rub-257-c,AIR-CAP3702I-A-K9,84:b8:02:52:97:4c,default,location,US,10.140.185.95
7704-per-rub-259-c,AIR-CAP3702I-A-K9,84:b8:02:70:03:74,Perkins,US,10.140.185.128,0
7704-per-rub-261-h-c,AIR-CAP3702I-A-K9,84:b8:02:52:99:98,Perkins,US,10.140.185.126,2
7704-per-rub-275-h-c,AIR-CAP3702I-A-K9,84:b8:02:38:25:90,Perkins,US,10.140.185.80,0
7704-per-rub-299-c-1,AIR-CAP3702I-A-K9,84:b8:02:64:df:44,Perkins,US,10.140.185.117,0
7704-per-rub-299-c-2,AIR-CAP3702I-A-K9,84:b8:02:70:04:0c,Perkins,US,10.140.185.137,0
7704-per-rub-299-c-4,AIR-CAP3702I-A-K9,84:b8:02:38:27:e4,Perkins,US,10.140.12.221,0
7704-per-rub-299-c-5,AIR-CAP3702I-A-K9,84:b8:02:52:98:38,Perkins,US,10.140.185.131,0
7704-per-rub-343-1-c,AIR-CAP3702I-A-K9,84:b8:02:64:dd:88,default,location,US,10.140.185.133
7704-per-rub-343-2-c,AIR-CAP3702I-A-K9,84:b8:02:55:92:fc,default,location,US,10.140.185.129
7704-per-rub-349-c,AIR-CAP3702I-A-K9,84:b8:02:48:ed:a0,default,location,US,10.140.185.93
7704-per-rub-352-c,AIR-CAP3702I-A-K9,84:b8:02:48:ef:68,default,location,US,10.140.185.194
7704-per-rub-354-c,AIR-CAP3702I-A-K9,84:b8:02:3a:b7:50,default,location,US,10.140.185.96
7704-per-rub-356-c,AIR-CAP3702I-A-K9,84:b8:02:38:20:3c,default,location,US,10.140.185.90
7704-per-rub-358-c,AIR-CAP3702I-A-K9,84:b8:02:52:96:ec,default,location,US,10.140.185.134
7704-per-rub-359-c,AIR-CAP3702I-A-K9,84:b8:02:52:96:1c,default,location,US,10.140.185.224
7704-per-rub-363-c,AIR-CAP3702I-A-K9,84:b8:02:64:da:e0,default,location,US,10.140.185.86
7704-per-rub-399-1-c,AIR-CAP3702I-A-K9,84:b8:02:70:03:d0,default,location,US,10.140.185.85
7704-per-rub-399-2-c,AIR-CAP3702I-A-K9,84:b8:02:52:97:c0,default,location,US,10.140.185.87
7704-per-rub-399-3-c,AIR-CAP3702I-A-K9,84:b8:02:64:d9:7c,default,location,US,10.140.185.113
7704-per-rub-399-4-c,AIR-CAP3702I-A-K9,84:b8:02:70:03:a8,default,location,US,10.140.185.132
7704-per-rub-399-5-c,AIR-CAP3702I-A-K9,84:b8:02:64:db:80,Perkins,US,10.140.185.84,0
7704-per-rub-399-6-c,AIR-CAP3702I-A-K9,84:b8:02:52:96:f0,Perkins,US,10.140.185.122,0
7704-per-rub-534-h-c,AIR-CAP3602I-A-K9,b0:fa:eb:88:84:9e,default,location,US,10.140.12.69
7704-rubenstein-140b-c,AIR-CAP3702I-A-K9,84:b8:02:38:24:a8,default,location,US,10.140.185.196
7705-lang-014-c,AIR-CAP3502I-A-K9,c4:64:13:2b:fe:0c,Language,US,10.140.21.70,1
7705-lang-015-c,AIR-CAP3502I-A-K9,28:94:0f:c9:26:f2,Lang,US,10.140.63.248,0
7705-lang-04-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9f:2e,Lang,US,10.140.21.71,0
7705-lang-09-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9c:be,Lang,US,10.140.21.82,0
7705-lang-105-h-c,AIR-CAP3502I-A-K9,28:94:0f:c9:27:2a,Lang,US,10.140.21.76,8
7705-lang-114-back-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9c:d2,Old,Chem,US,10.140.21.88
7705-lang-114b-h-c,AIR-CAP3602I-A-K9,7c:ad:74:fb:e3:18,Language,Bldg,US,10.140.21.87
7705-lang-202-h-c,AIR-CAP3502I-A-K9,28:94:0f:c9:1f:75,Lang,US,10.140.63.190,2
7705-lang-205-w,AIR-CAP3502E-A-K9,2c:54:2d:9d:f7:15,Lang,US,10.140.63.189,13
7705-lang-212-h-c,AIR-CAP3502I-A-K9,28:94:0f:d6:d1:d7,Lang,US,10.140.21.79,2
7705-lang-217-h-c,AIR-CAP3502I-A-K9,c4:64:13:00:4d:45,Lang,US,10.140.21.80,0
7705-lang-219a-h-c,AIR-CAP3502I-A-K9,28:94:0f:c9:26:6d,Lang,US,10.140.63.244,0
7705-lang-304-h-w,AIR-CAP3502E-A-K9,2c:54:2d:a4:2a:41,Language,Bldg,US,10.140.21.78
7705-lang-305-w,AIR-CAP3502I-A-K9,28:94:0f:c9:26:a9,Lang,US,10.140.21.83,5
7705-lang-309-h-w,AIR-CAP3502E-A-K9,64:9e:f3:01:12:ce,Language,Bldg,US,10.140.21.91
7705-lang-312-h-w,AIR-CAP3502E-A-K9,64:9e:f3:b3:56:d4,Language,Bldg,US,10.140.63.163
7705-lang-320-c,AIR-CAP3602I-A-K9,7c:ad:74:50:36:4f,Language,Bldg,US,10.140.21.84
7705-lang-321c-w,AIR-CAP3502E-A-K9,2c:54:2d:13:21:90,Language,Bldg,US,10.140.21.69
7705-lang-somewhere-1,AIR-CAP3502I-A-K9,c4:64:13:11:3a:f2,Lang,US,10.140.63.193,5
7706-oldchem-011c-c,AIR-CAP3702I-A-K9,00:fe:c8:30:90:bc,chapel,US,10.140.68.149,7
7706-oldchem-017b-c,AIR-CAP3502I-A-K9,c4:64:13:5b:99:4d,Old,Chem,US,10.140.68.183
7706-oldchem-021-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c7:93,Old,Chem,US,10.140.68.176
7706-oldchem-025-c,AIR-CAP3502I-A-K9,c4:64:13:38:c7:a3,Old,Chem,US,10.140.68.230
7706-oldchem-026-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c8:25,Old,Chem,US,10.140.68.228
7706-oldchem-02-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:53:6b,Old,Chem,US,10.140.68.177
7706-oldchem-03-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:52:a0,Old,Chem,US,10.140.68.226
7706-oldchem-05-h-c,AIR-CAP3702I-A-K9,00:42:68:8d:aa:8c,Old,Chem,US,10.140.68.178
7706-oldchem-101-c,AIR-CAP3502I-A-K9,c4:64:13:76:64:da,Old,Chem,US,10.140.68.229
7706-oldchem-108-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:56:3a,Old,Chem,US,10.140.68.227
7706-oldchem-112b-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c7:b5,Old,Chem,US,10.140.68.235
7706-oldchem-116c-h-c,AIR-CAP3502I-A-K9,c4:64:13:c3:05:20,Old,Chem,US,10.140.68.180
7706-oldchem-116m-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c7:51,Old,Chem,US,10.140.68.179
7706-oldchem-119-c,AIR-CAP3502I-A-K9,c4:64:13:38:c9:b2,Old,Chem,US,10.140.68.248
7706-oldchem-119-h-c,AIR-CAP3502I-A-K9,c4:64:13:c2:d4:c4,Old,Chem,US,10.140.68.249
7706-oldchem-123-c,AIR-CAP3702I-A-K9,cc:46:d6:17:58:00,Old,Chem,US,10.140.68.237
7706-oldchem-125-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:ca:8c,Old,Chem,US,10.140.68.194
7706-oldchem-201-c,AIR-CAP3502I-A-K9,c4:64:13:76:50:96,Old,Chem,US,10.140.68.189
7706-oldchem-204-c,AIR-CAP3702I-A-K9,00:42:68:8d:a8:28,old,chem,US,10.140.68.211
7706-oldchem-207-h-c,AIR-CAP3502I-A-K9,c4:64:13:2b:f9:b9,Old,Chem,US,10.140.68.193
7706-oldchem-211-c,AIR-CAP3702I-A-K9,84:b8:02:70:05:d4,default,location,US,10.140.68.217
7706-oldchem-211-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:4f:46,default,location,US,10.140.68.247
7706-oldchem-214-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:de:aa,Old,Chem,US,10.140.68.191
7706-oldchem-217-h-c,AIR-CAP3502I-A-K9,c4:64:13:2c:01:ff,Old,Chem,US,10.140.68.246
7706-oldchem-223-c,AIR-CAP3602I-A-K9,78:da:6e:f2:48:0c,Old,Chem,US,10.140.68.141
7706-oldchem-304-h-c,AIR-CAP3502I-A-K9,c4:64:13:00:44:86,Old,Chem,US,10.140.68.243
7706-oldchem-308-c,AIR-CAP3502I-A-K9,c4:64:13:38:c7:dc,Old,Chem,US,10.140.68.225
7706-oldchem-313-h-c,AIR-CAP3502I-A-K9,28:94:0f:d6:c9:ad,Old,Chem,US,10.140.68.244
7706-oldchem-320-h-c,AIR-CAP3502I-A-K9,c4:64:13:00:4d:09,Old,Chem,US,10.140.68.188
7706-oldchem-325-h-c,AIR-CAP3502I-A-K9,c4:64:13:00:44:7c,Old,Chem,US,10.140.68.242
7706-oldchem-333-h-c,AIR-CAP3502I-A-K9,c4:64:13:00:44:0b,Old,Chem,US,10.140.68.240
7706-oldchem-401-h-c,AIR-CAP3502I-A-K9,28:94:0f:c9:27:45,Old,Chem,US,10.140.68.241
7706-oldchem-408b-h-c,AIR-CAP3502I-A-K9,c4:64:13:00:46:8e,Old,Chem,US,10.140.68.185
7706-oldchem-c464.135b.9c2c,AIR-CAP3502I-A-K9,c4:64:13:5b:9c:2c,default,location,US,10.140.68.192
7706-oldchem-somewhere-1,AIR-CAP3502I-A-K9,c4:64:13:00:46:a3,Old,Chem,US,10.140.68.245
7706-oldchem-somewhere-3,AIR-CAP3502I-A-K9,c4:64:13:11:32:22,Old,Chem,US,10.140.68.239
7707-divinity-langford-150-h-c,AIR-CAP3502I-A-K9,c4:64:13:d3:03:63,Dvinity,US,10.140.4.23,2
7708-divinity-031-w,AIR-CAP3502E-A-K9,28:94:0f:c9:0b:40,divinity,wb,US,10.140.1.159
7708-divinity-somewhere-1,AIR-CAP3502I-A-K9,c4:64:13:5b:a9:1b,Divinity,US,10.140.1.176,10
7708-divinity-wb-0012-lc,AIR-CAP3502I-A-K9,c4:64:13:38:c1:f9,Divinity,US,10.140.1.179,0
7708-divinity-wb-0012-rc,AIR-CAP3502I-A-K9,c4:64:13:38:d0:ec,Divinity,US,10.140.1.177,0
7708-divinity-wb-0013-c,AIR-CAP3702I-A-K9,00:42:68:75:1e:10,default,location,US,10.140.1.160
7708-divinity-wb-0014-rc,AIR-CAP3502I-A-K9,c4:64:13:5b:94:76,Divinity,US,10.140.1.175,13
7708-divinity-wb-0015-rc,AIR-CAP3502I-A-K9,c4:64:13:d3:21:0b,Westbrook,US,10.140.1.171,1
7708-divinity-wb-0016-lc,AIR-CAP3502I-A-K9,c4:64:13:5b:94:99,Divinity,US,10.140.1.174,0
7708-divinity-wb-0016-rc,AIR-CAP3502I-A-K9,c4:64:13:38:c2:62,Divinity,US,10.140.1.178,0
7708-divinity-wb-030-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:95:22,Divinity,US,10.140.1.151,0
7708-divinity-wb-033-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:e1:bf,Divinity,US,10.140.1.185,9
7708-divinity-wb-033-telcom-rm,AIR-CAP3502I-A-K9,28:94:0f:a9:cc:b0,Divinity,US,10.140.1.181,1
7708-divinity-wb-036a-besk,AIR-CAP3502I-A-K9,c4:64:13:5b:9c:fa,Divinity,US,10.140.1.162,4
7708-divinity-wb-103-c,AIR-CAP3502I-A-K9,c4:64:13:38:c7:53,Divinity,US,10.140.1.170,11
7708-divinity-york-rm-w,AIR-CAP3502E-A-K9,2c:54:2d:7c:a3:05,default,location,US,10.140.106.235
7709-socpsy-006a-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c4:ba,socsci,US,10.140.171.194,0
7709-socpsy-022-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:53:2d,socsci,US,10.140.171.248,2
7709-socpsy-031-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9b:de,socsci,US,10.140.28.80,1
7709-socpsy-035a-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9e:ac,socsci,US,10.140.28.88,1
7709-socpsy-042-h-c,AIR-CAP3502I-A-K9,c4:64:13:2b:fb:e1,socsci,US,10.140.28.70,0
7709-socpsy-046-h-c,AIR-CAP3502I-A-K9,c4:64:13:2b:fb:b3,socsci,US,10.140.28.115,0
7709-socpsy-04-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9d:ed,socsci,US,10.140.171.191,3
7709-socpsy-054-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:99:18,socsci,US,10.140.28.101,0
7709-socpsy-09/010-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c8:d6,socsci,US,10.140.171.192,3
7709-socpsy-105-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:ca:6d,socsci,US,10.140.171.246,2
7709-socpsy-108/109-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9b:fc,socsci,US,10.140.171.247,8
7709-socpsy-113-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9f:d7,socsci,US,10.140.171.190,5
7709-socpsy-122f-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:53:c1,socsci,US,10.140.171.245,2
7709-socpsy-122l-h-c,AIR-CAP3502I-A-K9,c4:64:13:2b:fb:d7,socsci,US,10.140.171.229,4
7709-socpsy-126-c,AIR-CAP3502I-A-K9,c4:64:13:2b:fb:6f,socsci,US,10.140.171.189,0
7709-socpsy-129-h-c,AIR-CAP3502I-A-K9,c4:64:13:d3:03:a4,socsci,US,10.140.171.188,4
7709-socpsy-130-c,AIR-CAP3602I-A-K9,b0:fa:eb:88:7f:a8,socsci,US,10.140.28.84,0
7709-socpsy-133-h-c,AIR-CAP3502I-A-K9,c4:64:13:2b:fb:ef,socsci,US,10.140.171.193,3
7709-socpsy-135-c,AIR-CAP3502I-A-K9,28:94:0f:05:c4:b9,default,US,10.140.28.105,5
7709-socpsy-140a-c,AIR-CAP3502I-A-K9,c4:64:13:5b:8c:10,socsci,US,10.140.171.243,2
7709-socpsy-142-c,AIR-CAP3502I-A-K9,c4:64:13:c3:0e:1e,socsci,US,10.140.171.203,3
7709-socpsy-144h-h-c,AIR-CAP3502I-A-K9,c4:64:13:c2:d5:9e,socsci,US,10.140.28.122,2
7709-socpsy-146ab-h-c,AIR-CAP3602I-A-K9,4c:4e:35:60:5e:32,default,location,US,10.140.28.72
7709-socpsy-205-h-c,AIR-CAP3502I-A-K9,c4:64:13:c3:07:c6,socsci,US,10.140.171.184,3
7709-socpsy-208-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:dd:31,socsci,US,10.140.28.87,1
7709-socpsy-214-h-c,AIR-CAP3502I-A-K9,c4:64:13:2b:ed:ec,socsci,US,10.140.171.183,2
7709-socpsy-224-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:bb:06,socsci,US,10.140.171.182,0
7709-socpsy-229-h-c,AIR-CAP3502I-A-K9,c4:64:13:c3:00:83,socsci,US,10.140.171.171,0
7709-socpsy-235-h-c,AIR-CAP3702I-A-K9,00:42:68:95:bb:4c,socsci,US,10.140.171.237,0
7709-socpsy-237-c,AIR-CAP3702I-A-K9,f0:7f:06:a3:8a:70,default,location,US,10.140.171.157
7709-socpsy-242-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c1:ce,socsci,US,10.140.171.181,0
7709-socpsy-248-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:8c:b4,socsci,US,10.140.171.179,0
7709-socpsy-264-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:46:46,socsci,US,10.140.171.236,0
7709-socpsy-267t-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:bc:1d,socsci,US,10.140.171.178,0
7709-socpsy-276-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:95:be,socsci,US,10.140.171.177,1
7709-socpsy-303-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9e:a1,socsci,US,10.140.171.234,0
7709-socpsy-310-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:8c:71,socsci,US,10.140.171.176,0
7709-socpsy-312a-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9d:97,socsci,US,10.140.171.232,0
7709-socpsy-320-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c8:f8,default,location,US,10.140.171.231
7709-socpsy-331-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9f:78,socsci,US,10.140.28.85,1
7709-socpsy-337-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:58:d6,socsci,US,10.140.171.230,0
7709-socpsy-341/344-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9d:96,socsci,US,10.140.171.140,0
7709-socpsy-348-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:a1:68,socsci,US,10.140.171.173,0
7709-socpsy-somewhere-2,AIR-CAP3502I-A-K9,c4:64:13:2c:01:da,socsci,US,10.140.28.98,4
7709-socpsy-somewhere-3,AIR-CAP3502I-A-K9,c4:64:13:c3:07:d2,socsci,US,10.140.171.187,1
7710-socsci-021-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:8c:4a,socsci,US,10.140.4.79,0
7710-socsci-02b-c,AIR-CAP3502I-A-K9,c4:64:13:5b:91:4d,socsci,US,10.140.171.35,2
7710-socsci-105-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:bb:a8,socsci,US,10.140.4.107,3
7710-socsci-111-c,AIR-CAP3502I-A-K9,c4:64:13:5b:91:29,socsci,US,10.140.4.105,3
7710-socsci-113-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9d:6a,socsci,US,10.140.171.104,1
7710-socsci-124-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:91:21,socsci,US,10.140.171.103,10
7710-socsci-133-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:92:26,socsci,US,10.140.171.43,6
7710-socsci-136-1-c,AIR-CAP3702I-A-K9,80:e0:1d:6a:69:e4,socsci,US,10.140.4.112,1
7710-socsci-136-2-c,AIR-CAP3702I-A-K9,80:e0:1d:5c:cb:e4,socsci,US,10.140.4.113,2
7710-socsci-136-3-c,AIR-CAP3702I-A-K9,80:e0:1d:58:7f:4c,socsci,US,10.140.4.100,0
7710-socsci-136-4-c,AIR-CAP3702I-A-K9,80:e0:1d:52:ce:a0,socsci,US,10.140.4.90,4
7710-socsci-139-c,AIR-CAP3502I-A-K9,64:9e:f3:90:3d:e0,socsci,US,10.140.4.84,8
7710-socsci-202-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:bc:99,socsci,US,10.140.171.113,31
7710-socsci-208-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c2:ac,socsci,US,10.140.171.60,3
7710-socsci-213-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c1:80,socsci,US,10.140.171.91,0
7710-socsci-221-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:4c:4b,socsci,US,10.140.4.78,5
7710-socsci-224-h-c,AIR-CAP3702I-A-K9,00:42:68:a1:15:44,socsci,US,10.140.171.67,1
7710-socsci-228-c,AIR-CAP3702I-A-K9,80:e0:1d:52:cf:54,socsci,US,10.140.171.45,1
7710-socsci-234-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c1:b2,socsci,US,10.140.171.115,2
7710-socsci-243-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:8c:30,socsci,US,10.140.171.92,5
7710-socsci-301-c,AIR-CAP3502I-A-K9,c4:64:13:76:4f:ae,socsci,US,10.140.4.98,0
7710-socsci-301f-h-c,AIR-CAP3702I-A-K9,a8:9d:21:e2:59:d4,default,location,US,10.140.171.111
7710-socsci-308d-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:99:23,socsci,US,10.140.171.94,4
7710-socsci-311-c,AIR-CAP3502I-A-K9,c4:64:13:5b:8d:d2,socsci,US,10.140.171.89,20
7710-socsci-315-h-c,AIR-CAP3502I-A-K9,c4:64:13:38:c2:25,socsci,US,10.140.171.112,7
7710-socsci-320-h-c,AIR-CAP3502I-A-K9,c4:64:13:76:5a:4e,socsci,US,10.140.171.56,1
7710-socsci-325-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9e:c8,socsci,US,10.140.171.107,5
7710-socsci-325k-h-c,AIR-CAP3702I-A-K9,00:42:68:8d:a9:bc,socsci,US,10.140.4.101,0
7710-socsci-326k-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:98:cb,socsci,US,10.140.171.106,1
7710-socsci-329d-h-c,AIR-CAP3502I-A-K9,c4:64:13:5b:9a:d8,socsci,US,10.140.171.105,0
